Trx,FPKM_mean_M,Linkage
CAF2751642.1,3.46438333333333,Auto
CAF2751657.1,0.3363755,Auto
CAF2751675.1,13.2070683333333,Auto
CAF2751685.1,42.8368,Auto
CAF2751701.1,26.84175,Auto
CAF2751718.1,32.0381166666667,Auto
CAF2751733.1,0.9534305,Auto
CAF2751748.1,2.13512412,Auto
CAF2751764.1,2.18880166666667,Auto
CAF2751778.1,3.34739473333333,Auto
CAF2751792.1,22.7599333333333,Auto
CAF2751808.1,13.1344666666667,Auto
CAF2751822.1,10.048295,Auto
CAF2751836.1,160.034953333333,Auto
CAF2751851.1,0.0387845498717583,Auto
CAF2751865.1,11.9644258333333,Auto
CAF2751878.1,0.246112333333333,Auto
CAF2751892.1,0.429130716666667,Auto
CAF2751906.1,0.0887288333333333,Auto
CAF2751920.1,14.8972675,Auto
CAF2751934.1,9.9626525,Auto
CAF2751949.1,0.686388073846167,Auto
CAF2751962.1,7.09007833333333,Auto
CAF2751976.1,14.250907,Auto
CAF2751991.1,59.734235,Auto
CAF2752005.1,13.550979,Auto
CAF2752019.1,0,Auto
CAF2752034.1,0.176388666666667,Auto
CAF2752048.1,0.0765015,Auto
CAF2752062.1,6.37093766666667,Auto
CAF2752079.1,0,Auto
CAF2752093.1,0.115375333333333,Auto
CAF2752106.1,3.78334833333333,Auto
CAF2752119.1,1.01196833333333,Auto
CAF2752132.1,0.0605688333333333,Auto
CAF2752146.1,0.33999,Auto
CAF2752150.1,3.60376033333333,Auto
CAF2752162.1,64.4901333333333,Auto
CAF2752177.1,47.0658166666667,Auto
CAF2752193.1,0.27349675,Auto
CAF2752207.1,0.517524,Auto
CAF2752223.1,12.1739318333333,Auto
CAF2752237.1,21.6366856666667,Auto
CAF2752251.1,1.5394015,Auto
CAF2752258.1,17.2587806666667,Auto
CAF2752273.1,17.5794416666667,Auto
CAF2752287.1,22.4277333333333,Auto
CAF2752302.1,21.2026833333333,Auto
CAF2752316.1,35.3263183333333,Auto
CAF2752330.1,67.17985,Auto
CAF2752345.1,56.2476166666667,Auto
CAF2752360.1,12.3197783333333,Auto
CAF2752372.1,22.1276,Auto
CAF2752386.1,25.9917666666667,Auto
CAF2752400.1,6.51088766666667,Auto
CAF2752416.1,43.54205,Auto
CAF2752431.1,115.2368,Auto
CAF2752445.1,26.6733333333333,Auto
CAF2752458.1,12.8277716666667,Auto
CAF2752472.1,11.2606866666667,Auto
CAF2752486.1,193.943733333333,Auto
CAF2752500.1,0.251098870101248,Auto
CAF2752516.1,21.4092326166667,Auto
CAF2752531.1,23.9846666666667,Auto
CAF2752547.1,6.91046833333333,Auto
CAF2752561.1,15.0375266666667,Auto
CAF2752575.1,43.3610638333333,Auto
CAF2752589.1,1.88709383333333,Auto
CAF2752604.1,164.022505,Auto
CAF2752609.1,0.254692666666667,Auto
CAF2752623.1,198.606968833333,Auto
CAF2752637.1,3.68885833333333,Auto
CAF2752651.1,0.831303,Auto
CAF2752665.1,0,Auto
CAF2752680.1,27.4554666666667,Auto
CAF2752696.1,124.641566666667,Auto
CAF2752709.1,206.1424475,Auto
CAF2752723.1,3.16337516666667,Auto
CAF2752737.1,0.0303711833333333,Auto
CAF2752750.1,0.434422166666667,Auto
CAF2752767.1,6.97843333333333e-08,Auto
CAF2752782.1,0.0426450166666667,Auto
CAF2752796.1,0.317398666666667,Auto
CAF2752812.1,4.20518166666667,Auto
CAF2752825.1,0.205791166666667,Auto
CAF2752841.1,6.83537216666667,Auto
